Golfer,Win Probability,Top 5 Probability
Sergio Garcia,0.189,0.57
Tiger Woods,0.127,0.467
Gonzalo Fernandez-Castano,0.08,0.288
Kenny Perry,0.056,0.304
Jaco Van Zyl,0.046,0.259
Rocco Mediate,0.046,0.23
Rory McIlroy,0.046,0.238
John Cook,0.044,0.26
Luke Donald,0.036,0.221
South Africa,0.035,0.197
Brandt Snedeker,0.034,0.206
Justin Rose,0.034,0.188
Jim Furyk,0.032,0.206
Charl Schwartzel,0.032,0.181
Francesco Molinari,0.031,0.219
Matteo Manassero,0.029,0.22
Duffy Waldorf,0.028,0.19
Jay Haas,0.027,0.191
Phil Mickelson,0.026,0.197
Darren Fichardt,0.022,0.168
